GZ1,Acquired data,1,5
RI,LALS,RALS,DP,IP
-0.456752513845762,189.055028279622405,192.139729817708343,9.951969782511393,42.202662150065102
-0.453231702248255,189.055226643880218,192.139928181966155,9.949069658915201,42.205168406168617
-0.449577371279399,189.055465698242188,192.140162150065095,9.949596405029297,42.207631429036461
-0.444823001821836,189.055694580078125,192.140192667643220,9.950572967529297,42.209808349609375
-0.442935196061929,189.055892944335938,192.140228271484375,9.953326543172201,42.211588541666664
-0.441781431436539,189.056961059570312,192.140192667643220,9.957312901814779,42.213142395019531
-0.440660061935584,189.059031168619782,192.139694213867188,9.958143234252930,42.214931488037109
-0.437872782349586,189.060663859049470,192.138727823893220,9.956499735514322,42.216791788736977
-0.436052071551482,189.062296549479157,192.137695312500000,9.954829533894857,42.218294779459633
-0.433464268843333,189.064127604166657,192.136698404947907,9.954326311747232,42.219523111979164
-0.431543245911598,189.065694173177093,192.135757446289062,9.957119941711426,42.221162160237633
-0.428822743395964,189.066065470377595,192.135228474934905,9.960839907328287,42.223453521728516
-0.421667794386546,189.066492716471345,192.135233561197907,9.965143203735352,42.225831349690758
-0.415747078756491,189.066925048828125,192.135396321614593,9.964709917704264,42.227767944335938
-0.410093054175377,189.067255655924470,192.135528564453125,9.965023040771484,42.229362487792969
-0.406505174934864,189.067860921223968,192.135930379231780,9.967039744059244,42.230982462565102
-0.402550935745239,189.069697062174470,192.137064615885407,9.968033154805502,42.232666015625000
-0.399096881349881,189.071828206380218,192.138397216796875,9.971079508463541,42.234396616617836
-0.396975743273894,189.073796590169280,192.139592488606780,9.978616396586100,42.236091613769531
-0.394588549931844,189.075663248697907,192.140833536783845,9.983299891153971,42.237874348958336
-0.390500617523988,189.077295939127595,192.141794840494782,9.981656710306803,42.239758809407554
-0.386579915881157,189.077565511067718,192.141932169596345,9.981192906697592,42.241479237874351
-0.383625425398350,189.077224731445312,192.141998291015625,9.976192792256674,42.242862701416016
-0.383271447072426,189.076894124348968,192.142094930013030,9.970976511637369,42.243848164876304
-0.380250547081232,189.076527913411468,192.142196655273438,9.969259579976400,42.244893391927086
-0.378996457904577,189.075190226236970,192.142262776692718,9.968493461608887,42.246331532796226
-0.376408815383911,189.073059082031250,192.142359415690095,9.966679890950521,42.247694651285805
-0.374687763551871,189.071161905924470,192.142461140950530,9.965659459431967,42.248626708984375
-0.372467125455538,189.069295247395843,192.142593383789062,9.970433235168457,42.249445597330727
-0.371312696486712,189.067296346028655,192.142730712890625,9.976672808329264,42.250811258951821
-0.366558324545622,189.065699259440095,192.142695109049470,9.981016476949057,42.252568562825523
-0.361637516568104,189.065363566080720,192.142567952473968,9.979066530863443,42.254169464111328
-0.359583314508200,189.065129597981780,192.142364501953125,9.974356333414713,42.255326588948570
-0.358162343502045,189.064860026041657,192.141962687174470,9.971542994181315,42.256278991699219
-0.357040974001090,189.064493815104157,192.141464233398438,9.971356391906738,42.257311503092446
-0.354953711231550,189.063659667968750,192.140599568684905,9.973209698994955,42.258375803629555
-0.353499351069331,189.061391194661468,192.139165242513030,9.974809646606445,42.259461720784508
-0.350478898733854,189.058863321940095,192.137730916341155,9.974833170572916,42.260557810465492
-0.347423974424601,189.056421915690095,192.136428833007812,9.970659891764322,42.261819203694664
-0.344903247430921,189.054026285807282,192.135258992513030,9.966789881388346,42.263052622477211
-0.342115829077860,189.052032470703125,192.134460449218750,9.964829444885254,42.264011383056641
-0.342328491310279,189.051493326822907,192.134363810221345,9.961653073628744,42.264591217041016
-0.342907523425917,189.051396687825530,192.134363810221345,9.963073094685873,42.264886220296226
-0.341820039475958,189.051300048828125,192.134394327799470,9.968886375427246,42.265495300292969
-0.343465597368777,189.051162719726562,192.134496053059905,9.972369511922201,42.266228993733726
-0.343811297168334,189.050964355468750,192.134592692057282,9.973252932230631,42.266632080078125
-0.343957222066820,189.050730387369782,192.134724934895843,9.974742889404297,42.266679128011070
-0.344536095236739,189.050394694010407,192.134928385416657,9.975539843241373,42.267072041829429
-0.345715008676052,189.050094604492188,192.135096232096345,9.969479560852051,42.268249511718750
-0.345094477136930,189.049794514973968,192.135228474934905,9.963209788004557,42.269652048746742
-0.343939729655782,189.049463907877595,192.135294596354157,9.957123120625814,42.270737965901695
-0.341686210284630,189.049158732096345,192.135426839192718,9.957526524861654,42.271423339843750
-0.341364824523528,189.048863728841155,192.135564168294280,9.957946459452311,42.271979014078774
-0.341210799291730,189.048660278320312,192.135726928710938,9.959859530131022,42.272661844889321
